channel_idx,mean_abs_activation
41,0.5456422
488,0.54513294
613,0.54380757
406,0.54374355
154,0.5430533
256,0.5430071
271,0.54126257
383,0.5410156
147,0.540871
565,0.5404724
669,0.53923684
679,0.53876257
359,0.53736615
495,0.5360648
319,0.53599197
466,0.53518605
323,0.5350661
341,0.5348858
347,0.53422016
179,0.53412175
438,0.53196645
259,0.53098255
200,0.52869844
434,0.5232171
411,0.52277607
529,0.5216029
704,0.52124065
550,0.5208176
312,0.51895016
408,0.5169375
3,0.5166839
489,0.5161292
435,0.5158598
136,0.50471014
262,0.5045214
290,0.50272375
13,0.50265276
176,0.5015164
54,0.49709597
485,0.48741093
654,0.48740765
450,0.4840221
564,0.47839925
38,0.4610054
630,0.4404227
